Date , AIT101 NTU , AIT401 NTU , FIT101 Lpm , FIT210 Lpm , FIT230 Lpm , FIT250 Lpm , FIT401 Lpm , PT100 psi , PT101 psi , PT151 psi , PT161 psi , PT171 psi , PT301 psi , PT302 psi
2023-11-08 4:09:01 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-15 8:53:01 AM,0,0,-4.701968E-02,0,0,0,0,-4.340278E-02,0.3041811,0,0.1363571,-4.720052E-02,0,0
15/11/2023 8:54:01 AM,0,0,-5.063657E-02,0,0,0,-1.218895,-7.052951E-02,0.2884476,0,0.1468461,-4.720052E-02,0,0
15/11/2023 8:55:01 AM,0,0,-4.340278E-02,0,0,0,-1.226128,-6.510416E-02,0.3146701,0,0.1678241,-4.195602E-02,0,0
15/11/2023 8:56:01 AM,0,0,-4.701968E-02,0,0,0,-1.226128,-8.138021E-02,0.3146701,0,0.1573351,-5.244502E-02,0,0
15/11/2023 8:57:01 AM,0,0,-4.340278E-02,0,0,0,-1.226128,-4.340278E-02,0.2936921,0,0.1678241,-4.195602E-02,0,0
15/11/2023 8:58:01 AM,0,0,-3.616898E-02,0,0,0,-1.236979,-5.425347E-02,0.3146701,0,0.1468461,-4.720052E-02,0,0
15/11/2023 8:59:01 AM,0,0,-4.340278E-02,0,0,0,-1.236979,-7.052951E-02,0.3146701,0,0.1678241,-5.244502E-02,0,0
15/11/2023 9:00:01 AM,0,0,-4.701968E-02,0,0,0,-1.229745,-9.765625E-02,0.3146701,0,0.1573351,-3.671151E-02,0,0
15/11/2023 9:01:01 AM,0,0,-4.701968E-02,0,0,0,-1.226128,-0.1030816,0.3041811,0,0.1835576,-4.195602E-02,0,0
15/11/2023 9:02:01 AM,0,0,-5.063657E-02,0,0,0,-1.229745,-0.0922309,0.2936921,0,0.1625796,-4.720052E-02,0,0
15/11/2023 9:03:01 AM,0,0,-4.340278E-02,0,0,0,-1.236979,-0.124783,0.2989366,0,0.1625796,-6.293403E-02,0,0
15/11/2023 9:04:01 AM,0,0,-4.701968E-02,0,0,0,-1.229745,-0.1193576,0.3146701,0,0.1730686,-4.720052E-02,0,0
15/11/2023 9:05:01 AM,0,0,-5.063657E-02,0,0,0,-1.240596,-0.1030816,0.2989366,0,0.1888021,-4.195602E-02,0,0
15/11/2023 9:06:01 AM,0,0,-5.063657E-02,0,0,0,-1.236979,-0.0922309,0.2989366,0,0.1625796,-4.195602E-02,0,0
15/11/2023 9:07:01 AM,0,0,-5.063657E-02,0,0,0,-1.229745,-7.595486E-02,0.3041811,0,0.1678241,-4.195602E-02,0,0
15/11/2023 9:08:01 AM,0,0,-5.063657E-02,0,0,0,-1.236979,-0.0922309,0.2989366,0,0.1678241,-3.671151E-02,0,0
15/11/2023 9:09:01 AM,0,0,-4.701968E-02,0,0,0,-1.229745,-0.1193576,0.2884476,0,0.1678241,-4.195602E-02,0,0
15/11/2023 9:10:01 AM,0,0,-4.701968E-02,0,0,0,-1.236979,-7.595486E-02,0.3041811,0,0.1678241,-4.720052E-02,0,0
