Date , FIT101 Total m3 , FIT210 Total m3 , FIT230 Total m3 , FIT250 Total m3 , FIT401 Total m3 
2024-01-01 12:43:00 AM,685.8483,315.5869,352.8335,229.3682,679.1983
2024-01-01 1:43:00 AM,686.2879,316.1357,353.3828,229.3682,679.6144
2024-01-01 2:43:00 AM,686.7274,316.5979,353.8558,229.3682,680.0539
2024-01-01 3:43:00 AM,687.1668,317.0377,354.3096,229.3682,680.4615
2024-01-01 4:43:00 AM,687.6063,317.4776,354.765,229.3682,680.7221
2024-01-01 5:43:00 AM,688.0458,317.9177,355.2224,229.3682,681.1597
2024-01-01 6:43:00 AM,688.4853,318.3574,355.6725,229.3682,681.5992
2024-01-01 7:43:00 AM,688.9246,318.7968,356.1169,229.3682,682.038
2024-01-01 8:43:00 AM,689.3641,319.2364,356.5592,229.3682,682.4323
2024-01-01 9:43:00 AM,690.4385,320.3188,356.9612,229.3682,682.6172
2024-01-01 10:43:00 AM,690.8779,320.7583,357.4006,229.3682,682.8369
2024-01-01 11:43:00 AM,691.3174,321.1978,357.8401,229.3682,683.0566
2024-01-01 12:43:00 PM,691.757,321.6373,358.2796,229.3682,683.2765
2024-01-01 1:43:00 PM,692.1964,322.0768,358.7191,229.3682,683.4962
2024-01-01 2:43:00 PM,692.636,322.5168,359.1591,229.3682,683.935
2024-01-01 3:43:00 PM,693.0755,322.9562,359.5987,229.3682,684.3745
2024-01-01 4:43:00 PM,693.515,323.3958,360.0387,229.3682,684.8139
2024-01-01 5:43:00 PM,693.9544,323.8354,360.4784,229.3682,685.2502
2024-01-01 6:43:00 PM,694.3939,324.2749,360.9178,229.3682,685.6095
2024-01-01 7:43:00 PM,694.8333,324.7144,361.3573,229.3682,685.8311
2024-01-01 8:43:00 PM,695.2728,325.1538,361.7968,229.3682,686.0847
2024-01-01 9:43:00 PM,695.7123,325.5934,362.2363,229.3682,686.3911
2024-01-01 10:43:00 PM,696.1518,326.0328,362.6758,229.3682,686.7164
2024-01-01 11:43:00 PM,696.5912,326.4723,363.1152,229.3682,687.0402
2024-01-02 12:43:00 AM,697.0307,326.9117,363.5547,229.3682,687.2726
2024-01-02 1:43:00 AM,697.4702,327.3512,363.9941,229.3682,687.4478
2024-01-02 2:43:00 AM,697.9096,327.7906,364.4336,229.3682,687.6814
2024-01-02 3:43:00 AM,698.3489,328.23,364.8729,229.3682,687.9047
2024-01-02 4:43:00 AM,698.7885,328.6696,365.3125,229.3682,688.1705
2024-01-02 5:43:00 AM,699.228,329.109,365.752,229.3682,688.4406
2024-01-02 6:43:00 AM,699.6674,329.5485,366.1914,229.3682,688.6934
2024-01-02 7:43:00 AM,700.107,329.988,366.631,229.3682,688.949
2024-01-02 8:43:00 AM,700.5466,330.428,367.071,229.3682,689.3538
2024-01-02 9:43:00 AM,700.986,330.8674,367.5104,229.3682,689.7932
2024-01-02 10:43:00 AM,701.4254,331.3068,367.9498,229.3682,690.2325
2024-01-02 11:43:00 AM,701.8649,331.7471,368.3903,229.3682,690.587
2024-01-02 12:43:00 PM,702.3044,332.1866,368.8297,229.3682,691.0264
2024-01-02 1:43:00 PM,702.744,332.6262,369.2693,229.3682,691.466
2024-01-02 2:43:00 PM,703.1833,333.0655,369.7086,229.3682,691.9053
2024-01-02 3:43:00 PM,703.6227,333.5049,370.1481,229.3682,692.3448
2024-01-02 4:43:00 PM,704.0625,333.9449,370.5884,229.3682,692.7842
2024-01-02 5:43:00 PM,704.502,334.3845,371.028,229.3682,693.2237
2024-01-02 6:43:00 PM,704.9414,334.8241,371.468,229.3682,693.6353
2024-01-02 7:43:00 PM,705.381,335.264,371.9086,229.3682,694.0749
2024-01-02 8:43:00 PM,705.8203,335.704,372.3503,229.3682,694.5136
2024-01-02 9:43:00 PM,706.2598,336.1434,372.7898,229.3682,694.9531
2024-01-02 10:43:00 PM,706.6992,336.5829,373.2292,229.3682,695.3925
2024-01-02 11:43:00 PM,707.1387,337.0223,373.6687,229.3682,695.832
2024-01-03 12:43:00 AM,707.5782,337.4619,374.1083,229.3682,696.2715
2024-01-03 1:43:00 AM,708.0176,337.9012,374.5476,229.3682,696.7109
2024-01-03 2:43:00 AM,708.4572,338.3408,374.9872,229.3682,697.1505
2024-01-03 3:43:00 AM,708.8966,338.7803,375.4266,229.3682,697.5899
2024-01-03 4:43:00 AM,709.3361,339.2197,375.8661,229.3682,698.0294
2024-01-03 5:43:00 AM,709.7755,339.6592,376.3055,229.3682,698.4688
2024-01-03 6:43:00 AM,710.2148,340.0985,376.7449,229.3682,698.9081
